OBJECTID,GID,RR_ABRVN,RR_COMPANY,RR_STATUS,RR_TYP,RR_NBR,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,SHAPE_Length,WKT
1173,1315,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0010609224343273724,"MULTILINESTRING ((-95.38988696999996 29.771022643000038, -95.38962667799996 29.771031985000036, -95.38939400599997 29.771062796000024, -95.38915520599994 29.771120130000043, -95.38889188099995 29.771216501000026, -95.38885755999996 29.77123658900007))"
1175,1317,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.002952008043623499,"MULTILINESTRING ((-95.392823406 29.771325455000067, -95.38988696999996 29.771022643000038))"
1177,1319,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0006942471706925733,"MULTILINESTRING ((-95.38919644199996 29.770950878000065, -95.38988696999996 29.771022643000038))"
1178,1320,UP,Union Pacific Railroad Company,Pulled,Spur Line,66,,,,,,0.0032351401399531,"MULTILINESTRING ((-95.35944597999998 29.76982966500003, -95.36234940699995 29.771256635000043))"
1179,1321,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0006375503145517321,"MULTILINESTRING ((-95.38982803499994 29.770875084000068, -95.38950575599995 29.770893106000074, -95.38934678499999 29.770918666000057, -95.38919644199996 29.770950878000065))"
1180,1322,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.004617435093678082,"MULTILINESTRING ((-95.39442123399994 29.771347556000023, -95.38982803499994 29.770875084000068))"
1181,1323,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0018899924401625365,"MULTILINESTRING ((-95.38731657299996 29.77075552200006, -95.38919644199996 29.770950878000065))"
1182,1324,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0024067084342371025,"MULTILINESTRING ((-95.27826240399997 29.76651891700004, -95.27824771899998 29.766677831000038, -95.27822373299995 29.76680957600007, -95.27818543499995 29.76694362300003, -95.27813370699994 29.76707420200006, -95.27806653699997 29.767204555000035, -95.27798890099996 29.767324947000077, -95.27789938399997 29.767438906000052, -95.27779870099994 29.767545533000032, -95.27768362099994 29.76764724900005, -95.27756272499994 29.767736442000057, -95.27743326299998 29.767816004000053, -95.27729625899997 29.76788527700006, -95.27715278799997 29.76794373000007, -95.27700395699998 29.76799093300008, -95.27685628099994 29.768025451000028, -95.27667872399996 29.76805418400005))"
1183,1325,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00237122800856214,"MULTILINESTRING ((-95.27987093399997 29.76801107800003, -95.27969726499998 29.76798102300006, -95.27955287799995 29.76794612200007, -95.279407199 29.76789946100007, -95.27926648799996 29.76784237000004, -95.27912716699996 29.767772781000076, -95.27899948599998 29.767695839000055, -95.27887955399996 29.767609895000078, -95.27876457199994 29.76751216300005, -95.27866297199995 29.767409831000066, -95.27856850199998 29.76729660500007, -95.27848812099995 29.76718078400006, -95.27841684499998 29.767055276000065, -95.27835997799997 29.76692931200006, -95.27831400099996 29.766795117000072, -95.27828137599994 29.766657999000074, -95.27826240399997 29.76651891700004))"
1184,1326,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.008121868625826336,"MULTILINESTRING ((-94.91765426399996 29.752311533000068, -94.91300637899997 29.756607598000073, -94.91287561599995 29.75671884700006, -94.91272469599994 29.75682690600007, -94.91256342999998 29.75692287700008, -94.91239305999994 29.757006055000033, -94.91222078999994 29.75707372900007, -94.91206059499996 29.757123455000055, -94.91190259899997 29.75716102800004, -94.91136657199996 29.757246974000054))"
1185,1327,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.005868933580029137,"MULTILINESTRING ((-95.38982803499994 29.770875084000068, -95.385009143 29.770378330000028, -95.38468840999997 29.77032465700006, -95.384373628 29.770239079000078, -95.38420974699994 29.77018283700005, -95.38401580999994 29.770134617000053))"
1187,1329,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0037451848536804175,"MULTILINESTRING ((-95.37718981599994 29.77013162800006, -95.37878129499995 29.770085524000024, -95.380930633 29.769959351000068))"
1188,1330,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.002369712936914512,"MULTILINESTRING ((-95.38328884099997 29.77006004900005, -95.38306434999998 29.770070958000076, -95.38273456599995 29.770116486000063, -95.38252844399995 29.770120225000028, -95.380930633 29.769959351000068))"
1189,1331,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00029684876750769493,"MULTILINESTRING ((-95.31182148799996 29.787651037000046, -95.31163142699995 29.787849437000034, -95.31161459899994 29.787863766000044))"
1190,1332,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00027564563828037157,"MULTILINESTRING ((-95.31161459899994 29.787863766000044, -95.31140475799998 29.788042504000032))"
1191,1333,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0011897355785119167,"MULTILINESTRING ((-95.31002686599999 29.789461456000026, -95.30888529099997 29.78979653400006))"
1215,1141,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.004427636336926665,"MULTILINESTRING ((-95.41840837399997 29.783966021000026, -95.41863260199995 29.78399059700007, -95.41882133399997 29.78400122900007, -95.42231698499995 29.784070133000057, -95.42255642599997 29.784065996000038, -95.42283260499994 29.784041907000073))"
